reasoning,company,job_title,location,domain,domain_specific_skills,work_model,min_experience,max_experience,number_of_employeees,weeks_since_posting,min_salary,max_salary,no_of_applicants,company_type,key_responsibilities,technical_requirements,education,benefits_culture,unique_aspects,application_link,applicant_insights
"The job description provides details for a Software Engineer I position at Tower Research Capital. The information includes company overview, job responsibilities, qualifications, benefits, and company culture. I've extracted the relevant information to populate the output fields.",Tower Research Capital,Junior Software Engineer,"Gurgaon, Haryana, India",Financial Technology,"SQL, NoSQL",Hybrid,0,3,"1,001-5,000",2,,,100,"Financial Services, 1,001-5,000 employees","Developing the firm’s Post Trade Platform tools - including reference data management, trade capture, reconciliation, P&L, trade cost management, surveillance, compliance and regulatory functions. Working with appropriate stakeholders to determine user requirements for a set of features. Working in collaboration with teams across the organization to develop reliable, scalable, and high-performance, software designs. Responsible for technological innovation in build-out of the new generation of middle office and back-office applications and processes.","Knowledge of Python and Java, shell scripts and linux system. Knowledge of SQL (i.e. MySQL, PostGres) and NoSQL (i.e. MongoDB, ElasticSearch) databases are highly desirable.",Bachelors,"Tower fosters a culture where smart, driven people thrive – without the egos. Open concept workplace, casual dress code, well-stocked kitchens. Benefits include generous paid time off, savings plans, hybrid working, free meals, wellness experiences, volunteer opportunities, and social events.","Focus on a collaborative and welcoming culture, diverse team, and a workplace that values both performance and enjoyment. No unnecessary hierarchy or ego.",,72% of applicants are entry level and 69% have a Bachelor of Technology degree.
"I have extracted the information from the provided job description. I have identified the company, job title, location, and other relevant details. I have also inferred the experience level and salary range based on the job description. The number of applicants is directly stated in the text. I have categorized the skills into domain-specific skills and technical requirements. I have also identified the company type, benefits, and unique aspects of the role.",D. E. Shaw India Private Limited,Senior Software Engineer,"Gurugram, Haryana, India",AI,"Python, data analysis",Hybrid,0,10,"1,001-5,000",2,,,100,Large financial services firm,"Executing projects, collaborating with business groups, R&D, resolving application issues, driving project lifecycles, providing guidance to junior members, participating in code and design reviews.","C++, Java, Python, React, Redux, RESTful Web Services, Perl, messaging middleware, SQL Server, Spring, Mybatis/ibatis/Hibernate, jQuery, JavaScript, deployment architecture.",Bachelors,"Excellent benefits, casual, collegial working environment, attractive compensation package.","Entrepreneurial culture, building internal tools and frameworks, gender-neutral return-to-work initiative (Recommence).",1,"72% of applicants have a Bachelor of Technology, and 63% are entry-level."
"The job description is for an Engineer I position at American Express, focusing on AI/ML platform engineering. The description details responsibilities, required skills, and company benefits. I've extracted the relevant information to populate the output fields.",American Express,Engineer I,"Gurugram, Haryana, India",AI/ML,"Airflow, Jupyterlab, Jupyterhub, MLFlow, Spark, Hive, Hadoop",Hybrid,2,5,"10,000+",0,,,100,Large financial services company,"Perform technical aspects of software development, architecture, design, and development of systems, drive consistent development practices, perform code refactoring, identify innovative technologies, provide support for application availability, prioritize features, debug software, deploy and monitor software, and scale applications.","Experience in large scale platform engineering, application development and integration within cloud platforms (GCP, AWS), understanding of Machine Learning Ecosystem, experience with Python, proficiency on Linux, understanding of distributed systems concepts, understanding of data structures, algorithms & Design Patterns, experience with Spark, Hive in Hadoop.",Bachelors,"Competitive salaries, bonus incentives, financial well-being support, comprehensive medical, dental, vision, life insurance, disability benefits, flexible working model, generous paid parental leave, wellness centers, counseling support, career development opportunities.","Focus on AI/ML platform engineering, opportunity to work with the latest technologies, encourages open-source contributions, dedicated time for professional development, strong emphasis on company culture and employee well-being.",,"83% of applicants have a Bachelor's Degree, 82% are entry-level applicants."
"The job description provides a comprehensive overview of a Software Engineer position at Bain & Company. The information includes details about the company, job responsibilities, required skills, qualifications, and company culture. I have extracted the relevant information to populate the output fields.",Bain & Company,Senior Software Engineer,"Gurugram, Haryana, India","AI, Web Development","C#, T-SQL, JavaScript, HTML, CSS, Bootstrap, React, Elasticsearch, MongoDB, Redis",Hybrid,3,5,"10,001+",1,,,100,"Global consultancy with 10,001+ employees","Developing and updating enterprise applications, analyzing user stories, performing task breakdown, writing unit tests, participating in testing and implementation, providing ongoing support, acquiring new skills, contributing to sprint retrospectives, following development processes, and writing technical documentation.",".NET & .NET Core, C#, T-SQL, Angular/React, JavaScript, HTML, CSS, Bootstrap, Microsoft SQL Server, Microsoft Azure Services, XUnit, Jasmine, GitActions, Elasticsearch, MongoDB, Redis, Python, GenAI, Agile methodologies.",Bachelors,"Bain & Company is committed to investing in pro bono services, environmental sustainability (platinum rating from EcoVadis), and client success.","The role emphasizes T-shaped skills, contributing to a collaborative team environment and continuous process improvement.",,"68% of applicants have a Bachelor of Technology, and 72% are entry-level."
"The job posting is for a Software Engineer - Python at Zenarate. The information provided includes details about the company, job responsibilities, required skills, experience level, and benefits. I will extract the relevant information and populate the output fields accordingly.",Zenarate,Junior-Mid Level Python Engineer,"Gurugram, Haryana, India",AI,"RESTful & GraphQL API design, SQL, NoSQL databases, Linux environments, Web Servers, message-driven architectures",Hybrid,2,4,51-200,3,,,100,Software Development company with 51-200 employees,"Develop microservices using Python, application support, improvement and customization, performance optimization, reliability, and maintainability. Working in a fast-paced environment and supporting all phases of the business.","Expert in Python, at least 2+ years knowledge of at least one Python web framework (Flask, FastAPI, Django), in-depth knowledge of RESTful & GraphQL API design and implementation, familiarity with some ORM (Object Relational Mapper) libraries (SQLAlchemy Preferred), knowledge of user authentication and authorization, expertise with SQL Databases, expertise with Source Configuration Management (Git, Gitlab), knowledge in the development of high-performance and fault-tolerant systems, knowledge of distributed systems programming, excellent troubleshooting skills.",Bachelors,"Competitive Salary, Comprehensive Benefits (health insurance, lunch, team parties, outdoor tours), Inclusive Work Environment, Exceptional Mentorship, Flexible Work Options. The company values customer satisfaction, innovation, quality, efficiency, and an inclusive environment.","Zenarate is a leading AI Simulation + Coaching platform, transforming how companies develop top performing front-line agents. They have received numerous awards and work with leading global brands.",,"57% of applicants have a Bachelor of Technology, and 78% are entry-level applicants."
"The job description provides details for a Senior Software Engineer position at Stryker. The information includes job responsibilities, required skills, qualifications, and company details. I've extracted the relevant information to populate the output fields.",Stryker,Senior Software Engineer,"Gurugram, Haryana, India",Medical Devices/Healthcare IT,"Software Development, Static/Dynamic Analysis, Memory Management, Code Coverage, SDLC",Hybrid,2,5,"52,000",0,,,100,Large multinational medical technology company,"Conducting prototyping and bench testing, problem solving, designing components, code development, generating documentation, collaborating with cross-functional teams, leading code reviews, and prioritizing work.","Programming skills, experience with integrated development environments (IDEs), experience with software tools for static/dynamic analysis, memory management, code coverage, and knowledge of SDLC processes.",Bachelors,The job description highlights Stryker's commitment to innovation and improving patient outcomes. It also mentions being a Fortune 500 company and one of Fortune's World's Best Workplaces.,The role involves working on medical devices with a focus on improving healthcare outcomes. Stryker has a strong emphasis on innovation and a large global presence.,,"58% of applicants have a Bachelor's degree, and 55% are entry-level applicants."
"The job description provides a clear outline of the role, responsibilities, required skills, and company information. The information is well-structured, allowing for easy extraction of the requested fields. I've parsed the text to identify the relevant details and populate the output fields accordingly.",Aurora Energy Research,"Seniority: Mid-level, Title: Software Engineer, Role: Engineer","Gurugram, Haryana, India","AI, Development, Full-stack","Node, TypeScript, Express, Python, SQL, NoSQL, React, AWS Lambdas, Redshift, MySQL, MongoDB, Micro-frontends",Hybrid,3,99,"501-1,000",1,,,100,"Research Services, 501-1,000 employees","Design, develop, test, and operate the new generation of Aurora’s software-as-a service solutions. Work closely with end users (internal and external) to innovate highly effective solutions. Contribute to continuously improving how the Software Team works.","Three years or more commercial experience in developing complex software solutions with some of the following Node/TypeScript, Express, Python, SQL, NoSQL, React, Cloud Infrastructure, unit testing. A proven track record for delivering great software and solving difficult technical problems. Experience building web-services/microservices. Exceptional problem-solving skills.",Bachelors,"A fun, informal, collaborative and international work culture. A competitive salary package. Access to regular coaching and mentoring sessions and the opportunity to learn from experienced professionals. Access to the Aurora Academy, our training programme offering a range of opportunities to develop your skills within the responsibilities of your role and within the wider context of the industry. Access to our Employee Assistance Programme (EAP), offering a complete support network that offers expert advice and compassionate guidance 24/7/365, covering a wide range of personal and professional aspects.","The company is the largest dedicated power market analytics company in Europe, providing data-driven intelligence for strategic decisions in the global energy transformation. They have a diverse team of over 600 experts.",,63% of applicants have a Bachelor of Technology. 78% of applicants are entry level.
"The job posting is for a Network Engineer position at Nokia, specifically a Young Graduate Program. The role is hybrid and full-time, aimed at recent graduates or those with 1-3 years of experience. The posting details the program structure, key skills, and company culture. I've extracted the relevant information to populate the output fields.",Nokia,Junior Network Engineer,"Gurugram, Haryana, India",Telecommunications,"IP, Optical Networks, Fixed Networks, Network automation, Cloud, AI/ML, Python, REST API, JSON",Hybrid,1,3,"10,001+",1,,,100,Large multinational technology company,"Participate in technical training, gain hands-on experience with network equipment, learn network design and security, develop communication skills, collaborate on projects, rotate through different functions, contribute to live projects, and transition into a permanent role.","Bachelor's degree in Telecommunications, Electrical Engineering, or Computer Science. Strong interest in automation, AI/ML, network engineering, and telecommunications. Basic understanding of networking concepts and protocols. Basic knowledge of automation, development tools, and programming fundamentals using Python, REST API, and JSON.",Bachelors,"Nokia offers continuous learning opportunities, well-being programs, employee resource groups, mentoring programs, and a highly diverse and inclusive culture. They are committed to inclusion and are an equal opportunity employer.","The role is part of a Young Graduate Program designed to provide extensive training and hands-on experience, with a focus on network technology, automation, cloud, and AI/ML. It offers a structured path to a full-time position within the company.",,"50% of applicants have a Bachelor of Technology, and 65% are entry-level applicants."
"The job description provides details about an Associate Software Engineer position at PayU, focusing on PHP development. The information includes experience requirements, technical skills, company details, and applicant demographics. I will extract the relevant information and populate the output fields accordingly.",PayU,"Associate,Software Engineer,PHP Developer","Gurgaon, Haryana, India",full-stack,"PHP, MySQL, HTML, CSS, JavaScript, AJAX, CodeIgniter, Laravel, springboot, django, React, Angular",Hybrid,2,5,"1,001-5,000",30,,,100,"Financial Services, 1,001-5,000 employees","Develop and maintain web applications using PHP, python or java and one or more frameworks such as CodeIgniter, Laravel, springboot, django. Manage and optimize MySQL databases. Strong front-end development skills including HTML, CSS, JavaScript, and AJAX.","PHP, Python, Java, CodeIgniter, Laravel, springboot, django, HTML, CSS, JavaScript, AJAX, MySQL, React, Angular, Azure/AWS Cloud management",Bachelors,The company focuses on empowering people through financial services and creating a world without financial borders. They are a leading online payment service provider operating in 50+ high-growth markets.,"PayU is a Fintech innovator with investments totaling over $1 billion to date, deploying more than 400 payment methods and processing approximately 10 million payments daily.",,73% of applicants are entry level and 45% have a Bachelor of Technology degree.
"The job description provides detailed information about a Data Solutions Associate role at BlackRock. I have extracted the relevant details to populate the output fields, focusing on experience, skills, and company information. The salary information is not explicitly stated, so those fields will be set to None.",BlackRock,"Associate, Data Solutions","Gurgaon, Haryana, India","AI, Data Science, Financial Services","SQL, Unix, Tableau, Data Modeling, Data Governance, Data Quality Management, Relational Databases, NoSQL Databases, Graph Databases, Snowflake",Hybrid,4,8,"10,001+",0,,,88,Global Asset Manager and Technology Provider,"Business & Strategic Acumen, Data Governance & Quality, Data Product Lifecycle Management, Requirements Gathering & Documentation, Testing & Quality Assurance, Vendor & Stakeholder Management, Data Stewardship Support, Collaboration & Communication.","Proficiency in data management tools and technologies such as SQL, Unix, Tableau. Familiarity with data governance platforms (e.g., Aha!, ServiceNow, Erwin Data Modeling, DataHub) and methodologies for data management and quality assurance. Knowledge of databases (Relational, NoSQL, Graph) and cloud-based data platforms (e.g., Snowflake).",Bachelors,"Strong retirement plan, tuition reimbursement, comprehensive healthcare, support for working parents and Flexible Time Off (FTO). BlackRock’s hybrid work model is designed to enable a culture of collaboration and apprenticeship.",The role offers a hybrid work model with a focus on collaboration and apprenticeship. The company emphasizes financial well-being and offers various benefits and development opportunities.,,59% of applicants are at the Senior level. 31% have a Master of Business Administration.
